pk,model,main_image,sku,name,friendly_name,abbreviated_friendly_name,brand,size_value,size_unit,weight_g,price,vat_code,product_information,ingredients,free_from,allergens,usage,category,barcode,tags
0030,products.product,viridian-0030.jpg,viridian-0030,l_lysine_500mg_30_veg_caps,L-Lysine 500mg - 30 Veg Caps,L-Lysine 500mg 30 Caps,viridian,30,caps,118,10.95,T1,"L-Lysine, vegan source amino acid.","L-Lysine 500mg
In a base of  Alfalfa and Spirulina and  Bilberry and Vegan (HMPC) capsule",TRUE,0,"Directions: As a food supplement, take one to three capsules daily with food, or as directed by your healthcare professional.",31,5060003590309,"amino_acids, vegan, kosher"
0032,products.product,viridian-0032.jpg,viridian-0032,l_lysine_500mg_90_veg_caps,L-Lysine 500mg - 90 Veg Caps,L-Lysine 500mg 90 Caps,viridian,90,caps,224,25.8,T1,"L-Lysine, vegan source amino acid.","L-Lysine 500mg
In a base of  Alfalfa and Spirulina and  Bilberry and Vegan (HMPC) capsule",TRUE,0,"Directions: As a food supplement, take one to three capsules daily with food, or as directed by your healthcare professional.",31,5060003590323,"amino_acids, vegan, kosher"
0040,products.product,viridian-0040.jpg,viridian-0040,l_tryptophan_220mg_30_veg_caps,L-Tryptophan 220mg - 30 Veg Caps ,L-Tryptophan 220mg 30 Caps,viridian,30,caps,106,0,T1,100% European Pharmacopeia material. ,"One vegan capsule provides:
L-Tryptophan 220mg (EP grade)
In a base of alfalfa, spirulina and bilberry
",TRUE,0,"Directions: As a food supplement, take one capsule daily away from food, or as directed by your healthcare practitioner.",31,5060003590408,"amino_acids, vegan, kosher"
0042,products.product,viridian-0042.jpg,viridian-0042,l_tryptophan_220mg_90_veg_caps,L-Tryptophan 220mg - 90 Veg Caps ,L-Tryptophan 220mg 90 Caps,viridian,90,caps,196,0,T1,100% European Pharmacopeia material. ,"One vegan capsule provides:
L-Tryptophan 220mg (EP grade)
In a base of alfalfa, spirulina and bilberry
",TRUE,0,"Directions: As a food supplement, take one capsule daily away from food, or as directed by your healthcare practitioner.",31,5060003590422,"amino_acids, vegan, kosher"
0100,products.product,viridian-0100.jpg,viridian-0100,antioxidant_formula_30_veg_caps,Antioxidant Formula - 30 Veg Caps,Antioxidant Formula 30 Caps,viridian,30,caps,116,18.5,T1,"Vitamin C, Vitamin E, Selenium and Zinc contribute to the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. Vitamin C, selenium and zinc contribute to normal immune function.","Magnesium Ascorbate 150mg, 
Grape Seed Extract (95% OPC) 30mg, 
Natural Beta Carotene (Dunaliella Salina Algae) 5mg, 
L-Cysteine 50mg, 
Zinc Citrate 5mg, 
L-Glutathione 15mg, 
Selenium (Methionine)  100ug, 
Alpha Lipoic Acid  10mg, 
Magnesium Citrate  2mg, 
Vitamin B2 (Riboflavin) 5mg, 
Pyridoxine HCl (Vitamin B6) 5mg, 
Copper Citrate 500ug, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry",TRUE,0,"Directions: As a food supplement, take one to three capsules daily with food, or as directed by your healthcare professional.",32,5060003591009,"antioxidants, vegan, kosher"
0101,products.product,viridian-0101.jpg,viridian-0100,astaxanthin_4mg _30_veg_caps,Astaxanthin 4mg - 30 Veg Caps,Astaxanthin 4mg 30 Caps,viridian,30,caps,100,31.5,T1,"Viridian Astaxanthin is sourced from fresh water microalgae, cultivated close to the Stone Forest near Burma with natural light and water from the Himalayas. This carotenoid is a lipid soluble pigment and red in colour.
The vivid red colour of Astaxanthin is produced by the microalgae as a protective reaction to UV light.
Cultivated with minimal impact, Viridian Astaxanthin is grown using natural light in an ideal climate so the process has very little environmental impact.","Astaxanthin (Haematococcus pluvialis) 4mg	
In a base of Marigold flower (Calendula officinalis)		
Vegan (HMPC) Capsule",TRUE,0,Directions: As a food supplement take one capsule daily with food or as recommended by your healthcare practitioner.,32,5060003591016,"antioxidants, vegan"
0102,products.product,viridian-0102.jpg,viridian-0102,antioxidant_formula _90_veg_caps,Antioxidant Formula - 90 Veg Caps,Antioxidant Formula 90 Caps,viridian,90,caps,222,48.95,T1,"Vitamin C, Vitamin E, Selenium and Zinc contribute to the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. Vitamin C, selenium and zinc contribute to normal immune function.","Magnesium Ascorbate 150mg, 
Grape Seed Extract (95% OPC) 30mg, 
Natural Beta Carotene (Dunaliella Salina Algae) 5mg, 
L-Cysteine 50mg, 
Zinc Citrate 5mg, 
L-Glutathione 15mg, 
Selenium (Methionine)  100ug, 
Alpha Lipoic Acid  10mg, 
Manganese Citrate 2mg, 
Vitamin B2 (Riboflavin) 5mg, 
Pyridoxine HCl (Vitamin B6) 5mg, 
Copper Citrate 500ug, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry",TRUE,0,"Directions: As a food supplement, take one to three capsules daily with food, or as directed by your healthcare professional.",32,5060003591023,"antioxidants, vegan, kosher"
0104,products.product,viridian-0104.jpg,viridian-0104,hi_potency_pycnogenol_50mg_30_veg_caps ,Hi-Potency Pycnogenol™ 50mg - 30 Veg Caps ,Hi-Pot Pycnogenol 50mg 30 Caps,viridian,30,caps,100,38.8,T1,"Pycnogenol is a patented extract of maritime pine bark, sustainably harvested from trees grown in the South West of France. With more than 200 research papers to support its use, Pycnogenol is one of the most studied health supplements. Grape seed extract offers complementary properties to Pycnogenol.","Pycnogenol 50mg, 
Vitamin C (Ascorbic acid) 125mg, 
Vegan (HMPC) capsule",TRUE,0,"Directions: As a food supplement, take one to three capsules daily with food, or as directed by your healthcare professional.",32,5060003591047,"antioxidants, vegan, kosher"
0105,products.product,viridian-0105.jpg,viridian-0105,pycnogenol_ w_grape_seed_extract_30_veg_caps,Pycnogenol™ w/ Grape Seed Extract - 30 Veg Caps,Pycnogenol w Grape Seed 30 Cap,viridian,30,caps,110,28.55,T1,"Pycnogenol is a patented extract of maritime pine bark, sustainably harvested from trees grown in the South West of France. With more than 200 research papers to support its use, Pycnogenol is one of the most studied health supplements. Grape seed extract offers complementary properties to Pycnogenol.","Pycnogenol 26mg, 
Grape Seed Extract (95% OPC) 24mg, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry",TRUE,0,"Directions: As a food supplement, take one to three capsules daily with food, or as directed by your healthcare professional.",32,5060003591054,"antioxidants, vegan, kosher"
0106,products.product,viridian-0106.jpg,viridian-0106,pycnogenol_w_grape_seed_extract _60_veg_caps,Pycnogenol™ w/ Grape Seed Extract - 60 Veg Caps,Pycnogenol w Grape Seed 60 Cap,viridian,60,caps,150,48.9,T1,"Pycnogenol is a patented extract of maritime pine bark, sustainably harvested from trees grown in the South West of France. With more than 200 research papers to support its use, Pycnogenol is one of the most studied health supplements. Grape seed extract offers complementary properties to Pycnogenol.","Pycnogenol 26mg, 
Grape Seed Extract (95% OPC) 24mg, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry",TRUE,0,"Directions: As a food supplement, take one to three capsules daily with food, or as directed by your healthcare professional.",32,5060003591061,"antioxidants, vegan, kosher"
0107,products.product,viridian-0107.jpg,viridian-0107,brain_support_multi_60_veg_caps,Brain Support Multi - 60 Veg Caps,Brain Support Multi - 60s,viridian,60,caps,200,38.15,T1,"Brain Support Multi is a specific multivitamin and mineral formulation featuring a blend of 22 nutrients including supportive vitamins to promote brain health and function, together with bioavailable minerals and selected phytonutrients. 

Contains 100% active ingredients providing the nutritional building blocks for normal brain activity. Includes iodine, iron and zinc which all contribute to normal cognitive function.

Supplement daily to support overall brain health, in conjunction with a healthy balanced diet and exercise.


KEY FEATURES:


22 essential ingredients formulated to provide the core nutrients to support the brain.
Contains a high dose of choline.
Contains brahmi extract at the therapeutic dose.
Additionally contains iodine, iron and zinc which all contribute to normal cognitive function.
100% active ingredients with no fillers, binders or nasties.
Vegan, never GMO, palm oil free, against animal testing, ethically made.","Two capsules provides:
Choline (as bitartrate) 200mg
Brahmi (Bacopa monnieri) extract 300mg
Providing 50% Bacosides
Iodine (from Kelp and potassium iodide) 150ug 100
Vitamin C (as magnesium ascorbate) 80mg 100
Natural Beta Carotene/Carotenoid Mix 5mg
(Dunaliella salina)
Providing (typical analysis):
Beta Carotene 4.5mg
Cryptoxanthin 39ug, Alpha Carotene 158ug
Zeaxanthin 32ug, Lutein 25ug
Vitamin E Natural 33mg 275
(D-Alpha Tocopherol Succinate) (50IU)
Zinc (as citrate) 10mg 100
Vitamin B5 (as calcium d-pantothenate) 30mg 500
Vitamin B3 (as nicotinamide) 30mg 186
Vitamin B6 (as pyridoxine HCl) 20mg 1429
Vitamin B1 (as thiamine HCl) 20mg 1818
Vitamin B2 (as riboflavin) 20mg 1429
Iron (as bisglycinate) 3mg 21
Selenium (as methionine) 55ug 100
Manganese (as citrate) 1mg 50
Vitamin K2 (MK-7) 10ug 13
Vitamin D3 (Vegan) (400IU) 10ug 200
Copper (as citrate) 1mg 100
Folic acid 400ug 200
Chromium (as picolinate) 30ug 75
Molybdenum 50ug 100
Vitamin B12 250ug 10,000
(as adenosylcobalamin and methylcobalamin)
In a base of alfalfa, spirulina and bilberry
Vegan (HPMC*) capsule 200mg
(*Hydroxypropylmethyl cellulose)
†European Community Nutrient Reference Value.",TRUE,0,Directions: As a food supplement take two capsules daily with food or as recommended by your healthcare practitioner.,32,5060003591078,"multivitamins, vegan"
0108,products.product,viridian-0108.jpg,viridian-0108,65_plus_multi_ 60_veg_caps,65+ Multi - 60 Veg Caps,65+ Multi 60 Caps,viridian,60,caps,158,30.7,T1,"Specifically formulated to support the nutritional status in the over 65s, with added digestive factors.


B vitamins and Iron contribute to a reduction tiredness and fatigue.


Vitamin C and Vitamin D contribute to the normal function of the immune system. Vitamin D aids in the maintenance of normal bones.


Vitamin B12 and folic acid contribute to normal homocysteine metabolism.


Zinc contributes to the maintenance of normal vision.

Also features Vitamins A, E K, Co-enzyme Q10, bioflavonoids and digestive enzymes (full details in Ingredients).


Cross-checked against common prescription medicines, but please check with your GP if you have concerns.","Vitamin A (retinol acetate) 2660iu 800ug 100,
Vitamin B1 (thiamin HCl) 50mg	4546,
Vitamin B2 (riboflavin)	10mg	714,
Vitamin B3 (Nicotinamide)	40mg	250,
Vitamin B5 (calcium pantothenate) 50mg 834,
Vitamin B6 (pyridoxine HCl)	20mg	1428,
Vitamin B12 (Adenosylcobalamin and Methylcobalamin)	100ug	4000,
Biotin	100ug	200,
Folic acid	200ug	100,
Vitamin C (as Calcium ascorbate)	160mg	200,
Vitamin D3 (600iu)	15ug	300,
Vitamin E (d-alpha tocopherol succinate)	13mg	83,
Vitamin K2 (MK-7)	15ug	20,
Chromium (picolinate)	40ug	100,
Iron (bisclycinate)	7mg	50,
Selenium (methionine)	40ug	72,
Zinc (citrate)	10mg	100,
Alpha lipoic acid	50mg,	
Citrus bioflavonoids	10mg,	
Co-enzyme Q10	50mg,	
Betaine HCI 	100mg,	
Amylase (27000 u/g),		
Lactase (65000 units/g),		
Lipase (10000 FIP/g),		
Protease (140 Casein Protease u/g)		",TRUE,0,"Directions: As a food supplement, take two capsules daily with food, or as directed by your healthcare practitioner.",32,5060003591085,"multivitamins, vegan, kosher"
0109,products.product,viridian-0109.jpg,viridian-0109,woman_40_plus_multi_60_veg_caps,Woman 40+ Multi - 60 Veg Caps,Woman 40+ Multi 60 Caps,viridian,60,caps,168,40.6,T1,"More than just a multivitamin, Woman 40+ Veg Caps is a multivitamin, mineral and phytonutrient combination that blends specially formulated nutrients balancing the needs of women aged over 40. Featuring Pomegranate extract, Resveratrol from Red Grape Skin extract, Green Coffee Bean extract, balanced B-complex, chelated minerals, gentle forms of iron and vitamin C, important trace minerals and carefully selected botanicals providing appropriate phytonutrients for this age group. B complex vitamins (B1, B2, B3, B5, B6 & B12) contribute to the reduction of tiredness and fatigue, to normal psychological function and mental performance, energy-yielding metabolism, the regulation of hormonal activity, the functioning of the immune, cardio and nervous systems and the maintenance of normal skin, mucous membranes, vision and red blood cells. B complex vitamins also contribute to the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. Take daily alongside Woman 40+ Omega Oil from Viridian Nutrition.","Pomegranate Extract (40% Ellagic acid) 50mg, 
Grape Skin Extract (Vitis Vinifera) (25% Polyphenols) 50mg, 
Green Coffee Bean Extract (45% Chlorogenic Acid)  50mg, 
Vitamin C (Ascorbic acid) 65mg, 
Magnesium Ascorbate 10mg, 
Manganese Citrate  1mg, 
Organic Kelp 50ug, 
D-Ca pantothenate (vitamin B5) 40mg, 
Natural Beta Carotene (Dunaliella Salina Algae) 3mg, 
Lutein Extract 30mg, 
Calcium Ascorbate 5mg, 
Vitamin E (Natural D- Alpha tocopherol) 17mg, 
Pyridoxine HCl (Vitamin B6) 15mg, 
Thiamine (Vitamin B1) 13mg, 
Potassium Citrate 5mg, 
Alpha Lipoic Acid  13mg, 
Vitamin B2 (Riboflavin) 13mg, 
Nicotinamide (vitamin B3) 13mg, 
Co-Q10 (Ubiquinone) 10mg, 
Zinc Citrate 3mg, 
Horsetail extract (2% silica) 8mg, 
Iron Bisglycinate 1500ug, 
Choline bitartrate 3mg, 
Selenium (Methionine)  28ug, 
Sodium Borate 500ug, 
Inositol  3mg, 
Vitamin D3 (Cholecalciferol) 5ug, 
Copper Citrate 500ug, 
Vitamin K1 (phylloquinone) 25ug, 
Folic Acid 200ug, 
Chromium Picolinate 25ug, 
Iodine (potassium Iodide) 38ug, 
Ammonium Molybdate 25ug, 
Biotin 25ug, 
Adenosylcobalamin (Vitamin B12) 6ug, 
Methylcobalamin (Vitamin B12) 6ug, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry
ALLERGENS: This product contains sulphites",TRUE,Contains Sulphites,"Directions: As a food supplement, take two capsules daily with food, or as directed by your healthcare practitioner.",32,5060003591092,"multivitamins, vegan, kosher"
0110,products.product,viridian-0110.jpg,viridian-0110,high_five_multivit_n_mineral_formula_30_veg_caps ,HIGH FIVE Multivit & Mineral Formula - 30 Veg Caps ,HIGH 5 Multivit & Mineral 30,viridian,30,caps,120,13.9,T1,"One-a-day best-selling multivitamin and mineral from Viridian Nutrition. The 'High Five' refers to the higher level of Vitamin B5 (pantothenic acid) found in this formula.  Vitamin B5 contributes to normal mental performance and a reduction in tiredness and fatigue. Vitamin B5 also contributes to the normal synthesis and metabolism of steroid hormones, vitamin D and some neurotransmitters. Features buffered vitamin C, natural source vitamin E, vegan vitamin D, natural source carotenoids, balanced B-complex, fully-reacted chelated minerals including Selenium, Chromium, Iron and Zinc, Selenium contributes to normal maintenance of hair and nails, the normal function of the immune system, normal thyroid function and for the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. Chromium contributes to the maintenance of normal blood glucose levels. Iron is essential for the healthy production of haemoglobin and red blood cells. This formula contains iron bisglycinate, a form of iron that is gentle on the digestive system. Iron contributes to the reduction of tiredness and fatigue and contributes to normal cognitive function.  Zinc is a mineral essential to many body processes including the maintenance of normal cognitive function, vision, fertility and reproduction, hair, skin and nails and the immune system. Zinc also contributes to the normal metabolism of fatty acids and macronutrients. This formula is copper-free.","D-Ca pantothenate (vitamin B5) 150mg, 
Magnesium Ascorbate 100mg, 
Natural Beta Carotene (Dunaliella Salina Algae) 5mg, 
Nicotinamide (vitamin B3) 50mg, 
Organic Kelp 25ug, 
Calcium Citrate 10mg, 
Magnesium Citrate 12mg, 
Pyridoxine HCl (Vitamin B6) 25mg, 
Thiamine (Vitamin B1) 25mg, 
Vitamin B2 (Riboflavin) 25mg, 
Grape Seed Extract (95% OPC) 20mg, 
Zinc Citrate 5mg, 
Selenium (Methionine)  50ug, 
Potassium Citrate 2mg, 
Choline bitartrate 2mg, 
Inositol  5mg, 
Iron Bisglycinate 1mg, 
Sodium Borate 500ug, 
Vitamin D3 (Cholecalciferol) 10ug, 
Folic Acid 200ug, 
Chromium Picolinate 50ug, 
Adenosylcobalamin (Vitamin B12) 25ug, 
Methylcobalamin (Vitamin B12) 25ug, 
Biotin 50ug, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry",TRUE,0,"Directions: As a food supplement, take one capsule daily with food, or as directed by your healthcare professional.",32,5060003591108,"multivitamins, kosher, vegan"
0111,products.product,viridian-0111.jpg,viridian-0111,high_five_multivit_n_mineral_formula_60_veg_caps ,HIGH FIVE Multivit & Mineral Formula - 60 Veg Caps ,HIGH 5 Multivit & Mineral 60,viridian,60,caps,174,24.1,T1,"One-a-day best-selling multivitamin and mineral from Viridian Nutrition. The 'High Five' refers to the higher level of Vitamin B5 (pantothenic acid) found in this formula.  Vitamin B5 contributes to normal mental performance and a reduction in tiredness and fatigue. Vitamin B5 also contributes to the normal synthesis and metabolism of steroid hormones, vitamin D and some neurotransmitters. Features buffered vitamin C, natural source vitamin E, vegan vitamin D, natural source carotenoids, balanced B-complex, fully-reacted chelated minerals including Selenium, Chromium, Iron and Zinc, Selenium contributes to normal maintenance of hair and nails, the normal function of the immune system, normal thyroid function and for the protection of cells from oxidative stress. This 'oxidative stress' appears to be a major factor in many human diseases. Chromium contributes to the maintenance of normal blood glucose levels. Iron is essential for the healthy production of haemoglobin and red blood cells. This formula contains iron bisglycinate, a form of iron that is gentle on the digestive system. Iron contributes to the reduction of tiredness and fatigue and contributes to normal cognitive function.  Zinc is a mineral essential to many body processes including the maintenance of normal cognitive function, vision, fertility and reproduction, hair, skin and nails and the immune system. Zinc also contributes to the normal metabolism of fatty acids and macronutrients. This formula is copper-free.","D-Ca pantothenate (vitamin B5) 150mg, 
Magnesium Ascorbate 100mg, 
Natural Beta Carotene (Dunaliella Salina Algae) 5mg, 
Nicotinamide (vitamin B3) 50mg, 
Organic Kelp 25ug, 
Calcium Citrate 10mg, 
Magnesium Citrate 12mg, 
Pyridoxine HCl (Vitamin B6) 25mg, 
Thiamine (Vitamin B1) 25mg, 
Vitamin B2 (Riboflavin) 25mg, 
Grape Seed Extract (95% OPC) 20mg, 
Zinc Citrate 5mg, 
Selenium (Methionine)  50ug, 
Potassium Citrate 2mg, 
Choline bitartrate 2mg, 
Inositol  5mg, 
Iron Bisglycinate 1mg, 
Sodium Borate 500ug, 
Vitamin D3 (Cholecalciferol) 10ug, 
Folic Acid 200ug, 
Chromium Picolinate 50ug, 
Adenosylcobalamin (Vitamin B12) 25ug, 
Methylcobalamin (Vitamin B12) 25ug, 
Biotin 50ug, 
Vegan (HMPC) capsule
In a base of  Alfalfa and Spirulina and  Bilberry",TRUE,0,"Directions: As a food supplement, take one capsule daily with food, or as directed by your healthcare professional.",32,5060003591115,"multivitamins, vegan, kosher"
